defender_speed,enemy_speed,speed_ratio,n_episodes,n_success,success_rate,standard_error,failure_rate,timeout_rate,mean_episode_length,detection_rate,mean_tracking_error,policy_name
10.0,8.0,1.25,100,37,0.37,0.048280430818293245,0.63,0.0,21.25,1.0,1.2738018363123549,kalman_baseline
10.0,10.0,1.0,100,27,0.27,0.044395945760846225,0.73,0.0,21.69,1.0,1.7735777775091786,kalman_baseline
10.0,12.0,0.8333333333333334,100,25,0.25,0.04330127018922193,0.75,0.0,24.56,1.0,2.043950336638288,kalman_baseline
10.0,14.0,0.7142857142857143,100,20,0.2,0.04,0.8,0.0,26.42,1.0,2.421281148684651,kalman_baseline
10.0,16.0,0.625,100,21,0.21,0.0407308237088326,0.79,0.0,35.79,1.0,3.067495361892162,kalman_baseline
10.0,18.0,0.5555555555555556,100,21,0.21,0.0407308237088326,0.79,0.0,44.44,1.0,3.360530561019955,kalman_baseline
12.0,8.0,1.5,100,65,0.65,0.047696960070847276,0.35,0.0,19.92,1.0,1.0781839599673515,kalman_baseline
12.0,10.0,1.2,100,33,0.33,0.04702127178203499,0.67,0.0,20.56,1.0,1.781329162504526,kalman_baseline
12.0,12.0,1.0,100,23,0.23,0.042083250825001625,0.77,0.0,23.87,1.0,2.1257248448105286,kalman_baseline
12.0,14.0,0.8571428571428571,100,11,0.11,0.03128897569432403,0.89,0.0,28.51,1.0,2.5560906312937615,kalman_baseline
12.0,16.0,0.75,100,15,0.15,0.035707142142714254,0.85,0.0,39.45,1.0,3.053400862112633,kalman_baseline
12.0,18.0,0.6666666666666666,100,14,0.14,0.03469870314579494,0.86,0.0,51.18,1.0,3.3814041166707325,kalman_baseline
14.0,8.0,1.75,100,57,0.58,0.04935585071701227,0.42,0.0,19.94,1.0,1.0574823060723793,kalman_baseline
14.0,10.0,1.4,100,43,0.43,0.04950757517794625,0.57,0.0,19.71,1.0,1.6682240926760559,kalman_baseline
14.0,12.0,1.1666666666666667,100,30,0.3,0.0458257569495584,0.7,0.0,22.57,1.0,2.1341121689496823,kalman_baseline
14.0,14.0,1.0,100,21,0.21,0.0407308237088326,0.79,0.0,28.29,1.0,2.6645354254932108,kalman_baseline
14.0,16.0,0.875,100,19,0.19,0.039230090491866064,0.81,0.0,37.04,1.0,3.018239382421727,kalman_baseline
14.0,18.0,0.7777777777777778,100,9,0.09,0.02861817604250837,0.91,0.0,52.71,1.0,3.4730887405558337,kalman_baseline
16.0,8.0,2.0,100,60,0.6,0.04898979485566356,0.4,0.0,19.53,1.0,1.0431115898603192,kalman_baseline
16.0,10.0,1.6,100,50,0.5,0.05,0.5,0.0,18.62,1.0,1.5389459462614032,kalman_baseline
16.0,12.0,1.3333333333333333,100,36,0.36,0.048,0.64,0.0,19.95,1.0,1.9952999458167513,kalman_baseline
16.0,14.0,1.1428571428571428,100,32,0.32,0.0466476151587624,0.68,0.0,25.25,1.0,2.6611608727386287,kalman_baseline
16.0,16.0,1.0,100,22,0.22,0.04142463035441596,0.78,0.0,35.19,1.0,3.0158814307134447,kalman_baseline
16.0,18.0,0.8888888888888888,100,17,0.17,0.0375632799419859,0.83,0.0,44.46,1.0,3.4898544879235613,kalman_baseline
18.0,8.0,2.25,100,60,0.6,0.04898979485566356,0.4,0.0,19.44,1.0,1.0565969983579384,kalman_baseline
18.0,10.0,1.8,100,52,0.52,0.049959983987187186,0.48,0.0,18.33,1.0,1.4445913183595385,kalman_baseline
18.0,12.0,1.5,100,42,0.42,0.04935585071701227,0.58,0.0,19.21,1.0,1.9195178601914822,kalman_baseline
18.0,14.0,1.2857142857142858,100,35,0.35,0.047696960070847276,0.65,0.0,21.24,1.0,2.5976895698799165,kalman_baseline
18.0,16.0,1.125,100,34,0.34,0.04737087712930804,0.66,0.0,28.74,1.0,3.063375233819534,kalman_baseline
18.0,18.0,1.0,100,31,0.31,0.04624932431938871,0.69,0.0,38.79,1.0,3.4296423234727693,kalman_baseline
20.0,8.0,2.5,100,59,0.59,0.04918333050943175,0.41,0.0,19.82,1.0,1.0940860898753797,kalman_baseline
20.0,10.0,2.0,100,49,0.49,0.04998999899979995,0.51,0.0,18.44,1.0,1.468641542505393,kalman_baseline
20.0,12.0,1.6666666666666667,100,48,0.48,0.049959983987187186,0.52,0.0,18.36,1.0,1.739689741229796,kalman_baseline
20.0,14.0,1.4285714285714286,100,43,0.43,0.04950757517794625,0.57,0.0,20.77,1.0,2.5768939854215467,kalman_baseline
20.0,16.0,1.25,100,36,0.36,0.048,0.64,0.0,27.09,1.0,3.0081713256972735,kalman_baseline
20.0,18.0,1.1111111111111112,100,40,0.4,0.04898979485566356,0.6,0.0,35.98,1.0,3.4081150312532738,kalman_baseline
22.0,8.0,2.75,100,56,0.56,0.04963869458396342,0.44,0.0,20.54,1.0,1.181338426241812,kalman_baseline
22.0,10.0,2.2,100,51,0.51,0.04998999899979995,0.49,0.0,17.84,1.0,1.4297268925874191,kalman_baseline
22.0,12.0,1.8333333333333333,100,51,0.51,0.04998999899979995,0.49,0.0,17.23,1.0,1.703336551343931,kalman_baseline
22.0,14.0,1.5714285714285714,100,39,0.39,0.048774993593028795,0.61,0.0,21.69,1.0,2.4786716679608234,kalman_baseline
22.0,16.0,1.375,100,47,0.47,0.04990991885387112,0.53,0.0,22.79,1.0,2.8548579778514536,kalman_baseline
22.0,18.0,1.2222222222222223,100,44,0.44,0.04963869458396343,0.56,0.0,33.33,1.0,3.4164440808289616,kalman_baseline
